id,set,order,type,option,title,description,next,route,logic,rule
工作所屬產業,basic,1,select,industry,你的工作屬於哪個產業呢？,這邊列出的是勞基法裡面有特別寫出來的產業，有點眼花繚亂，但大部分人應該是「其他」吧,,,,
工作性質,,2,select,jobNature,工作本身有什麼特別的屬性嗎？,比方說， {TODO} 。一般沒有特別屬性的話，就是「連續性」囉！相關定義可參考： {TODO},,,,
工作設定：酬勞計算基準,,3,select,wageBasis,你的薪水是怎麼算的呢？,,,,,
工作設定：平日工資（金額，每月）,,4,input,,每個月的本薪是？,本薪指的是沒有獎金、也沒有扣除健保自付額、沒有經過任何加工計算的月薪。單位：新台幣,,,,
工作設定：平日工資（金額，每小時）,,5,input,,每個小時的時薪是？,加班的時候，每個小時的鐘點費是以多少錢計算呢？單位：新台幣,,,,
勞工：假日：休息日：給薪？,,6,select,boolean,休息日有算薪水嗎？,休息日指的是 {TODO},,,,
勞工：假日：例假日：給薪？,,7,select,boolean,例假日有算薪水嗎？,例假日指的是 {TODO},,,,
勞工：假日：國定假日：放假？,,8,select,boolean,國定假日有放假嗎？,所謂的國定假日，指的是勞動節、民間節日、國家紀念日，詳： {TODO},,,,
勞工：假日：國定假日：給薪？,,9,select,boolean,國定假日有算薪水嗎？,所謂的國定假日，指的是勞動節、民間節日、國家紀念日，詳： {TODO},,,,
勞工：假日：特別休假日：給薪？,,10,select,boolean,特別休假日有算薪水嗎？,特別休假日指的是 {TODO},,,,
勞工：同一雇主繼續工作期間（滿年數）,,11,input,,你為同一個老闆工作滿幾年了呢？,只要是同一個老闆，不同公司也要算在一起喔,,,,
勞工：同一雇主繼續工作期間（滿月數）,,12,input,,承前一題，在做滿的年數之外，滿幾個月了呢？,,,,,
勞工：同一雇主繼續工作期間（未滿月數）,,13,input,,承前一題，在做滿的年數之外，如果連沒做滿的月份一起算，是幾個月呢？,,,,,
契約約期,,14,select,contractTerm,你的工作契約期間是怎麼定的呢？,沒特別註明期限的話，就是不定期囉,,個案：不定期契約停止履行？;個案：定期契約屆滿？;個案：不定期契約停止履行？,,
個案：定期契約屆滿？,,15,select,boolean,你約滿了嗎？,定期工作契約是不是到期了,,,&&,契約約期|==|fixed
個案：定期契約屆滿：繼續工作？,,16,select,boolean,約滿後，你有繼續為老闆工作嗎？,,,,&&,契約約期|==|fixed;個案：定期契約屆滿？|==|true
個案：定期契約屆滿：繼續工作：雇主即反對？,,17,select,boolean,約滿後，你繼續為老闆工作，他有反對嗎？,,,,&&,契約約期|==|fixed;個案：定期契約屆滿？|==|true;個案：定期契約屆滿：繼續工作？|==|true
個案：定期契約屆滿：另訂新約？,,18,select,boolean,約滿後，你跟老闆有另外簽新的工作契約嗎？,,,,&&,契約約期|==|fixed;個案：定期契約屆滿？|==|true;
個案：定期契約屆滿：另訂新約：前後契約間斷期間（月數）,,19,input,,新約開始，跟舊約結束，中間隔了幾個月呢？,,,,&&,契約約期|==|fixed;個案：定期契約屆滿？|==|true;個案：定期契約屆滿：另訂新約？|==|true
個案：定期契約屆滿：另訂新約：前後工作年資合併計算？,,20,select,boolean,新約開始後，你的年資有把舊約的年資也算進去嗎？,,,,&&,契約約期|==|fixed;個案：定期契約屆滿？|==|true;個案：定期契約屆滿：另訂新約？|==|true
個案：定期契約屆滿：另訂新約：前後契約工作期間（日數）,,21,input,,新舊約都算的話，你總共工作了幾天呢？,,,,&&,契約約期|==|fixed;個案：定期契約屆滿？|==|true;個案：定期契約屆滿：另訂新約？|==|true
個案：定期契約屆滿：另訂新約：前後契約間斷期間（日數）,,22,input,,新約開始，跟舊約結束，中間隔了幾天呢？,,勞工：假日：特別休假日（日數，每年）,,&&,契約約期|==|fixed;個案：定期契約屆滿？|==|true;個案：定期契約屆滿：另訂新約？|==|true
個案：不定期契約停止履行？,,23,select,boolean,你離職了嗎？,不定期工作契約是不是終止了,,;勞工：假日：特別休假日（日數，每年）;勞工：假日：特別休假日（日數，每年）,&&,契約約期|==|non_fixed
個案：不定期契約停止履行：繼續履行原約？,,24,select,boolean,離職後，你有繼續為老闆工作嗎？,,,,&&,契約約期|==|non_fixed;個案：不定期契約停止履行？|==|true
個案：不定期契約停止履行：繼續履行原約：前後契約間斷期間（月數）,,25,input,,,,,,&&,契約約期|==|non_fixed;個案：不定期契約停止履行？|==|true;個案：不定期契約停止履行：繼續履行原約？|==|true
個案：不定期契約停止履行：繼續履行原約：前後工作年資合併計算？,,26,select,boolean,,,,,&&,契約約期|==|non_fixed;個案：不定期契約停止履行？|==|true;個案：不定期契約停止履行：繼續履行原約？|==|true
個案：不定期契約停止履行：另訂新約？,,27,select,boolean,,,,,&&,契約約期|==|non_fixed;個案：不定期契約停止履行？|==|true
個案：不定期契約停止履行：另訂新約：前後契約間斷期間（月數）,,28,input,,,,,,&&,契約約期|==|non_fixed;個案：不定期契約停止履行？|==|true;個案：不定期契約停止履行：另訂新約？|==|true
個案：不定期契約停止履行：另訂新約：前後工作年資合併計算？,,29,select,boolean,,,,,&&,契約約期|==|non_fixed;個案：不定期契約停止履行？|==|true;個案：不定期契約停止履行：另訂新約？|==|true
勞工：假日：特別休假日（日數，每年）,,30,input,,你今年有幾天特休呢？,,report,,,
工作設定：工時制度,hours,31,select,workingHour,,,,;勞工：工會？;勞工：工會？;勞工：工會？;;,,
工作設定：工時制度：一般：正常工作時間（時數，每日）,,32,input,,,,,,&&,工作設定：工時制度|==|default
工作設定：工時制度：一般：正常工作時間（時數，每週）,,33,input,,,,,,&&,工作設定：工時制度|==|default
工作設定：工時制度：一般：例假（日數，每七日）,,34,input,,,,,,&&,工作設定：工時制度|==|default
工作設定：工時制度：一般：放假（日數，每七日）,,35,input,,,,工作設定：工時制度：主管機關命令調整？,,&&,工作設定：工時制度|==|default
勞工：工會？,,36,select,boolean,公司的員工有組工會嗎？,,,,,
工作設定：工時制度：兩週變形：指定行業？,,37,select,boolean,,,,,&&,工作設定：工時制度|==|transformed_2w
工作設定：工時制度：兩週變形：工會同意？,,38,select,boolean,,,,,&&,工作設定：工時制度|==|transformed_2w;勞工：工會？|==|true
工作設定：工時制度：兩週變形：勞資會議同意？,,39,select,boolean,,,,,&&,工作設定：工時制度|==|transformed_2w
工作設定：工時制度：兩週變形：正常工作時間（時數，每週）,,40,input,,,,,,&&,工作設定：工時制度|==|transformed_2w
工作設定：工時制度：兩週變形：正常工作時間：自其他工作日分配（時數，每日）,,41,input,,,,,,&&,工作設定：工時制度|==|transformed_2w
工作設定：工時制度：兩週變形：正常工作時間：分配至其他工作日（日數，每二週）,,42,input,,,,,,&&,工作設定：工時制度|==|transformed_2w
工作設定：工時制度：兩週變形：例假（日數，每二週）,,43,input,,,,,,&&,工作設定：工時制度|==|transformed_2w
工作設定：工時制度：兩週變形：放假（日數，每二週）,,44,input,,,,工作設定：工時制度：主管機關命令調整？,,&&,工作設定：工時制度|==|transformed_2w
工作設定：工時制度：八週變形：指定行業？,,45,select,boolean,,,,,&&,工作設定：工時制度|==|transformed_8w
工作設定：工時制度：八週變形：工會同意？,,46,select,boolean,,,,,&&,工作設定：工時制度|==|transformed_8w;勞工：工會？|==|true
工作設定：工時制度：八週變形：勞資會議同意？,,47,select,boolean,,,,,&&,工作設定：工時制度|==|transformed_8w
工作設定：工時制度：八週變形：正常工作時間（時數，每日）,,48,input,,,,,,&&,工作設定：工時制度|==|transformed_8w
工作設定：工時制度：八週變形：正常工作時間（時數，每週）,,49,input,,,,,,&&,工作設定：工時制度|==|transformed_8w
工作設定：工時制度：八週變形：放假（日數，每八週）,,50,input,,,,工作設定：工時制度：主管機關命令調整？,,&&,工作設定：工時制度|==|transformed_8w
工作設定：工時制度：四週變形：指定行業？,,51,select,boolean,,,,,&&,工作設定：工時制度|==|transformed_4w
工作設定：工時制度：四週變形：工會同意？,,52,select,boolean,,,,,&&,工作設定：工時制度|==|transformed_4w;勞工：工會？|==|true
工作設定：工時制度：四週變形：勞資會議同意？,,53,select,boolean,,,,,&&,工作設定：工時制度|==|transformed_4w
工作設定：工時制度：四週變形：正常工作時間（時數，每日）,,54,input,,,,,,&&,工作設定：工時制度|==|transformed_4w
工作設定：工時制度：四週變形：正常工作時間：自其他工作日分配（時數，每日）,,55,input,,,,,,&&,工作設定：工時制度|==|transformed_4w
工作設定：工時制度：四週變形：放假（日數，每四週）,,56,input,,,,工作設定：工時制度：主管機關命令調整？,,&&,工作設定：工時制度|==|transformed_4w
工作設定：工時制度：主管機關命令調整？,,57,select,boolean,,,,,,
工作設定：工時制度：主管機關命令調整：公眾生活便利或其他特殊原因？,,58,select,boolean,,,,,&&,工作設定：工時制度：主管機關命令調整？|==|true
工作設定：班表：輪班制？,,59,select,boolean,,,,;工作設定：班表：休息（分鐘數，每連續四小時）;,,
工作設定：班表：輪班制：每週換班？,,60,select,boolean,,,,,&&,工作設定：班表：輪班制？|==|true
工作設定：班表：輪班制：勞工同意不每週換班？,,61,select,boolean,,,,,&&,工作設定：班表：輪班制？|==|true
工作設定：班表：輪班制：換班連續十一小時休息？,,62,select,boolean,,,,,&&,工作設定：班表：輪班制？|==|true
工作設定：班表：休息（分鐘數，每連續四小時）,,63,input,,,,,,,
工作設定：工作場所：坑內：非監視？,,64,select,boolean,,,report,,,
個案：雇主終止勞動契約？,leave,65,select,boolean,,,,個案：雇主終止勞動契約：預告（日數）;契約：競業禁止？;,,
個案：雇主終止勞動契約：預告（日數）,,66,input,,,,,,&&,個案：雇主終止勞動契約？|==|true
個案：雇主終止勞動契約：給付預告期間工資？,,67,select,boolean,,,,,&&,個案：雇主終止勞動契約？|==|true
個案：雇主終止勞動契約：勞工另謀工作請假：時數（日數，每週）,,68,input,,,,,,&&,個案：雇主終止勞動契約？|==|true
個案：雇主終止勞動契約：勞工另謀工作請假：工資照給？,,69,select,boolean,,,,,&&,個案：雇主終止勞動契約？|==|true
個案：雇主終止勞動契約：資遣費（金額）,,70,input,,,,,,&&,個案：雇主終止勞動契約？|==|true
個案：雇主終止勞動契約：資遣費：終止到發給期間（日數）,,71,input,,,,,,&&,個案：雇主終止勞動契約？|==|true
個案：當日：前六個月總日數（日數）,,72,input,,,,,,,
個案：當日：前六個月工作日數（日數）,,73,input,,,,,,,
個案：當日：前六個月工資總額（金額）,,74,input,,,,,,,
個案：當日：平均工資（金額，每日）,,75,input,,,,,,,
個案：當日：平均工資（金額，每月）,,76,input,,,,,,,
個案：工作期間工作日數（日數）,,77,input,,,,,,,
個案：工作期間工資總額（金額）,,78,input,,,,,,,
個案：工作期間總日數（日數）,,79,input,,,,,,,
契約：競業禁止？,,80,select,boolean,,,,;report;report,,
契約：競業禁止：勞工工作接觸營業秘密？,,81,select,boolean,,,,,&&,契約：競業禁止？|==|true
契約：競業禁止：雇主有應受保護之正當營業利益？,,82,select,boolean,,,,,&&,契約：競業禁止？|==|true
契約：競業禁止：期間（年數）,,83,input,,,,,,&&,契約：競業禁止？|==|true
契約：競業禁止：期間、區域、範圍、就業對象合理？,,84,select,boolean,,,,,&&,契約：競業禁止？|==|true
契約：競業禁止：合理補償？,,85,select,boolean,,,,,&&,契約：競業禁止？|==|true
契約：競業禁止：合理補償：包括工作給付？,,86,select,boolean,,,report,,&&,契約：競業禁止？|==|true;契約：競業禁止：合理補償？|==|true
工作性質：連續性或緊急性？,overtime,87,select,boolean,,,,,,
個案：延長工作時間：突發？,,88,select,boolean,,,,;個案：延長工作時間：非突發：工會同意？;個案：延長工作時間：勞工正當理由不接受？,,
個案：延長工作時間：突發：假日種類,,89,select,holiday,,,,,&&,個案：延長工作時間：突發？|==|true
個案：延長工作時間：突發：二十四小時內通知工會？,,90,select,boolean,,,,,&&,個案：延長工作時間：突發？|==|true
個案：延長工作時間：突發：二十四小時內報當地主管機關？,,91,select,boolean,,,,,&&,個案：延長工作時間：突發？|==|true
個案：延長工作時間：突發（時數）,,92,input,,,,,,&&,個案：延長工作時間：突發？|==|true
個案：延長工作時間：突發：事後補休？,,93,select,boolean,,,,,&&,個案：延長工作時間：突發？|==|true
個案：延長工作時間：突發：工資（金額，每小時）,,94,input,,,,個案：延長工作時間：勞工正當理由不接受？,,&&,個案：延長工作時間：突發？|==|true
個案：延長工作時間：非突發：工會同意？,,95,select,boolean,,,,,&&,個案：延長工作時間：突發？|==|false
個案：延長工作時間：非突發：勞資會議同意？,,96,select,boolean,,,,,&&,個案：延長工作時間：突發？|==|false
個案：延長工作時間：非突發：總工作時間（時數，每日）,,97,input,,,,,,&&,個案：延長工作時間：突發？|==|false
個案：延長工作時間：非突發：總延長工作時間（時數，每月）,,98,input,,,,,,&&,個案：延長工作時間：突發？|==|false
個案：延長工作時間：非突發：平日？,,99,select,boolean,,,,,&&,個案：延長工作時間：突發？|==|false
個案：延長工作時間：非突發：平日（時數）,,100,input,,,,,,&&,個案：延長工作時間：突發？|==|false;個案：延長工作時間：非突發：平日？|==|true
個案：延長工作時間：非突發：平日：工資（金額）,,101,input,,,,,,&&,個案：延長工作時間：突發？|==|false;個案：延長工作時間：非突發：平日？|==|true
個案：延長工作時間：非突發：平日：四週變形（時數，每日）,,102,input,,,,,,&&,個案：延長工作時間：突發？|==|false;個案：延長工作時間：非突發：平日？|==|true
個案：延長工作時間：非突發：休息日？,,103,select,boolean,,,,,&&,個案：延長工作時間：突發？|==|false
個案：延長工作時間：非突發：休息日（時數）,,104,input,,,,,,&&,個案：延長工作時間：突發？|==|false;個案：延長工作時間：非突發：休息日？|==|true
個案：延長工作時間：非突發：休息日：工資（金額）,,105,input,,,,,,&&,個案：延長工作時間：突發？|==|false;個案：延長工作時間：非突發：休息日？|==|true
個案：延長工作時間：非突發：國定假日？,,106,select,boolean,,,,,&&,個案：延長工作時間：突發？|==|false
個案：延長工作時間：非突發：國定假日：勞工同意？,,107,select,boolean,,,,,&&,個案：延長工作時間：突發？|==|false;個案：延長工作時間：非突發：國定假日？|==|true
個案：延長工作時間：非突發：國定假日：工資（金額，每小時）,,108,input,,,,,,&&,個案：延長工作時間：突發？|==|false;個案：延長工作時間：非突發：國定假日？|==|true
個案：延長工作時間：非突發：特別休假日？,,109,select,boolean,,,,,&&,個案：延長工作時間：突發？|==|false
個案：延長工作時間：非突發：特別休假日：勞工同意？,,110,select,boolean,,,,,&&,個案：延長工作時間：突發？|==|false;個案：延長工作時間：非突發：特別休假日？|==|true
個案：延長工作時間：非突發：特別休假日：主管機關認有必要？,,111,select,boolean,,,,,&&,個案：延長工作時間：突發？|==|false;個案：延長工作時間：非突發：特別休假日？|==|true
個案：延長工作時間：非突發：特別休假日：工資（金額，每小時）,,112,input,,,,,,&&,個案：延長工作時間：突發？|==|false;個案：延長工作時間：非突發：特別休假日？|==|true
個案：延長工作時間：勞工正當理由不接受？,,113,select,boolean,,,report,,,